출발ID,출발지명,도착ID,도착지명,도보시간(분),거리(m)
P004,교촌마을(출발지),P071,경주 교촌마을,0,0
P004,교촌마을(출발지),P072,경주 황리단길,15,1139
P004,교촌마을(출발지),P073,경주 계림,8,574
P004,교촌마을(출발지),P074,월정교,5,373
P004,교촌마을(출발지),P075,경주읍성,29,2207
P004,교촌마을(출발지),P076,경주 첨성대,11,807
P005,987피자,P006,료미,4,326
P005,987피자,P007,백년손님,4,279
P005,987피자,P008,백조식당,3,184
P005,987피자,P009,줄리스,2,168
P005,987피자,P010,포롱아밀 황남점,3,230
P005,987피자,P011,화양연화,5,375
P005,987피자,P012,료코,3,244
P005,987피자,P013,황남두꺼비식당 황남본점,5,359
P005,987피자,P014,피자옥,2,117
P005,987피자,P015,범외양간 황리단길본점,3,245
P005,987피자,P016,경주황소곱창 황리단길본점,2,129
P005,987피자,P017,메종드문,3,210
P005,987피자,P018,풍미갈비찜,4,284
P005,987피자,P019,황남갈비,5,379
P005,987피자,P020,타베르나,4,305
P005,987피자,P021,소나무 황리단길본점,6,429
P005,987피자,P022,오칼국수,5,382
P005,987피자,P023,황남거북이,1,13
P005,987피자,P024,그때그소간지,4,268
P005,987피자,P025,짚불함박,4,296
P005,987피자,P026,향밀,6,473
P005,987피자,P027,체크인치즈 황리단길점,4,284
P005,987피자,P028,황남역,4,310
P005,987피자,P029,황남양옥,1,57
P005,987피자,P030,대릉소반,6,458
P005,987피자,P031,미포기사식당,4,266
P005,987피자,P032,황리화덕가,6,445
P005,987피자,P033,향택 경주,4,276
P005,987피자,P034,무궁무진,4,328
P005,987피자,P035,노키,5,395
P005,987피자,P036,마카다,7,558
P005,987피자,P037,황리단 치킨,5,352
P005,987피자,P038,담요 따뜻한 손길,8,622
P005,987피자,P039,스컹크웍스,4,336
P005,987피자,P040,굿즈,4,319
P005,987피자,P041,샬로우커피 황리단길점,4,262
P005,987피자,P042,데어벤치,3,256
P005,987피자,P043,스위피,5,401
P005,987피자,P044,아르떼,4,269
P005,987피자,P045,키도트,4,326
P005,987피자,P046,후프후프,6,445
P005,987피자,P047,올리브,4,269
P005,987피자,P048,양지다방,4,262
P005,987피자,P049,미실카페,5,332
P005,987피자,P050,햇오프커피,5,354
P005,987피자,P051,비화커피,5,352
P005,987피자,P052,오버랩,12,780
P005,987피자,P053,주돈,10,725
P005,987피자,P054,서울뒷고기막창,12,841
P005,987피자,P055,옐라,13,975
P005,987피자,P056,대호당,14,1057
P005,987피자,P057,사계돈,13,991
P005,987피자,P058,황오바오,13,938
P005,987피자,P059,시간의 여백,11,834
P005,987피자,P060,리커피하우스,10,691
P005,987피자,P061,로라커피,20,1434
P005,987피자,P062,소담루,17,1200
P005,987피자,P063,위주,16,1139
P005,987피자,P064,크루그,14,979
P005,987피자,P065,나봉상점 경주점,14,1045
P005,987피자,P066,연화,20,1422
P005,987피자,P067,yesterday,28,1800
P005,987피자,P068,진수성찬,12,941
P005,987피자,P069,베이글베이글러,8,647
P005,987피자,P070,경주 핑크뮬리(경주 핑크뮬리 군락지),12,883
P005,987피자,P071,경주 교촌마을,12,927
P005,987피자,P072,경주 황리단길,3,186
P005,987피자,P073,경주 계림,15,1086
P005,987피자,P074,월정교,16,1244
P005,987피자,P075,경주읍성,20,1480
P005,987피자,P076,경주 첨성대,11,822
P006,료미,P007,백년손님,4,315
P006,료미,P008,백조식당,2,184
P006,료미,P009,줄리스,5,365
P006,료미,P010,포롱아밀 황남점,2,172
P006,료미,P011,화양연화,5,399
P006,료미,P012,료코,4,324
P006,료미,P013,황남두꺼비식당 황남본점,3,198
P006,료미,P014,피자옥,3,255
P006,료미,P015,범외양간 황리단길본점,3,236
P006,료미,P016,경주황소곱창 황리단길본점,3,237
P006,료미,P017,메종드문,4,340
P006,료미,P018,풍미갈비찜,2,180
P006,료미,P019,황남갈비,5,403
P006,료미,P020,타베르나,2,187
P006,료미,P021,소나무 황리단길본점,2,142
P006,료미,P022,오칼국수,3,264
P006,료미,P023,황남거북이,5,365
P006,료미,P024,그때그소간지,4,348
P006,료미,P025,짚불함박,4,318
P006,료미,P026,향밀,2,164
P006,료미,P027,체크인치즈 황리단길점,2,180
P006,료미,P028,황남역,5,424
P006,료미,P029,황남양옥,4,334
P006,료미,P030,대릉소반,8,646
P006,료미,P031,미포기사식당,4,275
P006,료미,P032,황리화덕가,2,140
P006,료미,P033,향택 경주,3,246
P006,료미,P034,무궁무진,1,41
P006,료미,P035,노키,3,186
P006,료미,P036,마카다,3,270
P006,료미,P037,황리단 치킨,3,267
P006,료미,P038,담요 따뜻한 손길,4,335
P006,료미,P039,스컹크웍스,0,31
P006,료미,P040,굿즈,3,219
P006,료미,P041,샬로우커피 황리단길점,2,178
P006,료미,P042,데어벤치,4,292
P006,료미,P043,스위피,4,284
P006,료미,P044,아르떼,3,269
P006,료미,P045,키도트,6,439
P006,료미,P046,후프후프,6,485
P006,료미,P047,올리브,4,278
P006,료미,P048,양지다방,3,237
P006,료미,P049,미실카페,4,341
P006,료미,P050,햇오프커피,4,315
P006,료미,P051,비화커피,2,182
P006,료미,P052,오버랩,12,780
P006,료미,P053,주돈,11,838
P006,료미,P054,서울뒷고기막창,13,864
P006,료미,P055,옐라,14,1089
P006,료미,P056,대호당,16,1170
P006,료미,P057,사계돈,15,1104
P006,료미,P058,황오바오,14,1052
P006,료미,P059,시간의 여백,13,948
P006,료미,P060,리커피하우스,11,805
P006,료미,P061,로라커피,21,1547
P006,료미,P062,소담루,18,1313
P006,료미,P063,위주,17,1252
P006,료미,P064,크루그,15,1092
